,Net Outflow
06037,86180
17031,54337
36047,42227
36081,37707
12086,35068
48201,30259
06085,25829
36061,25036
48113,22867
36005,21946
06059,15830
25025,14276
06073,12089
42101,11818
53033,11444
51059,11295
06075,11267
34017,10736
25017,10653
06001,10513
