y_pred,y_test
-118.52801259978341,-150
-134.8654597961808,4
64.463691610262,94
303.2437682573366,164
-139.64771127339492,-70
-95.1537567959427,-12
-5444.008612591041,-4619
814.3812717802472,547
42.76782253013697,-39
-490.4475254915309,-428
-56.00171761575097,65
-119.5075967020398,-44
-252.22529902891188,-78
-82.72662970409836,-167
-355.49339695387397,-286
-4158.778860928634,-5102
-208.12097332166746,-75
-22.626180082430615,-72
-1229.484882436427,-1114
-53.86349722275301,73
-182.18372462800198,-164
4331.6292231286525,3442
-67.05901839711223,93
1221.5480371657723,834
61.44412982993586,-32
-381.33955848286223,-97
-487.22757208546824,-144
-162.22518876353342,29
-57.34591243887063,145
-1336.6493186417615,-1053
-167.0903326687078,232
-319.7039318042803,-420
1607.3878967906646,1833
4025.916876696651,1781
-274.48800821312557,-52
235.08513287120888,172
-272.13581839527427,-97
1617.885898977047,460
-84.44723850325502,45
-133.82297650460276,-76
-103.65460564094167,-29
-37.90997226552631,172
-19.860420400078404,167
-127.24378500887549,22
-88.05933613511434,-96
-45.15617675487394,178
-45.85619486279042,5
2160.5880455217275,2339
-26.62310944255647,132
-158.11939884045677,8
494.78987860672675,-2259
-1.0800665575838906,142
13.149228675865743,-118
8.48952022425837,245
-1252.1863819507075,-655
-108.11002412879103,41
-181.58718428205952,-69
-107.75721999332725,-9
9.839159821502847,94
-238.77390918690492,141
-131.57941748522416,83
1196.7628465103326,1341
-149.05229567005858,22
-184.7040009923935,-196
-167.58939901339215,87
-130.56131222550408,-54
-166.68802096268212,-10
-2020.598985887757,-2784
-60.764075522950684,0
-147.21632677948202,99
5449.977026260611,5897
-20.813832986391915,95
-224.6845331332313,-72
-9.976326371395189,-56
-3406.256791885765,-3450
-49.76484395577349,6
-2206.86191631252,-2043
27.061117539554026,70
-1297.2353971340892,-1134
52.01195594178384,110
-100.20118073311639,0
-128.9902800425903,102
-99.15650348504951,-24
-185.96306853850592,-102
-103.23033415081186,-117
-146.02223622134198,135
144.66954868602704,-9
-83.56618547862905,-22
-106.43560652250858,-27
-72.78167534615768,-29
-30.100105065802246,19
-293.1835184530209,-207
-95.26721569981173,10
-2386.824130000069,-2865
917.9112842523255,-489
-184.24828794128672,-23
1655.9181465427148,1334
-57.74957659012603,-113
94.60313969633269,97
25.46660973517892,-224
-209.47239280966141,-301
28999.00272804485,23139
22.333275978331443,4
-60.20124939348203,-105
-646.7134599885617,-290
-336.893305506426,-330
-119.7837320404412,-31
-224.75463780638546,-162
-43.38690399942463,-5
1392.0187920358483,2328
12.317367213470021,-3
-143.77944363676505,-38
-86.74145476648923,-82
-105.35135879694799,-37
117.56397551925049,390
-15.65521128718342,55
-1146.3695617974195,-1387
-272.0078064179105,10
-39.8518512825094,28
-362.4948986164458,-173
-1371.45945841928,-1501
-122.42559564733271,40
-127.56721287096032,-13
-88.69117302079061,24
-147.25660709210314,-312
-665.4649084371408,-521
-164.38288663497627,107
-2292.3325867713165,-2445
-121.44534813427025,-16
-338.08636261074304,-399
36.388644575302905,-121
-132.0259783514523,-14
-13.711672602769617,-93
-101.57273214789399,-40
-51.695247139862545,121
-126.0292932314827,25
-74.42989560437522,55
-41.608890394729194,-48
-114.43834166737093,29
-33.67422469953644,-71
-643.7274915823785,-502
-10.104457841377297,-62
386.5978140067358,102
-236.72145379032162,-117
2014.0511483139674,1184
40.82478498379241,109
-99.30903770860321,-28
-70.95190262892545,110
-96.08467444900654,-71
-3354.8112470431934,-3662
-609.0775809097688,-512
-87.42550034635981,112
12448.118059526905,14847
-95.38315671496066,-202
-408.80534819636216,0
-42.77231589357711,-5
-67.9869193675748,76
-93.92709679372221,33
-103.13190833302936,8
-329.6699192307544,-316
-56.04139209260242,123
-408.890901798133,-15
-18.342955826759322,6
14.255676841613337,45
1.94607284408076,46
3592.045123215453,3140
188.37544545912635,-137
-83.92017893896413,34
-3.4810507022912205,34
38.01644487615799,37
-798.7084653243394,-1309
-93.69412215292387,40
-2155.8105366734153,-2531
-114.49549614509804,85
74.55029153065935,261
-101.7631935024696,95
31.82665498519482,119
-69.50006738547906,-23
19.599645900523242,152
261.77994027964615,178
902.1512441590755,-218
3144.411196291747,5308
200.285025809508,314
-90.81007101127993,-77
-102.10399552715737,0
-94.4887313467019,0
-223.42872234863307,-44
-71.0740217804114,-40
-16.21719904461068,117
231.98973465173543,579
-37.95980696981164,-7
-51.790028974856114,128
-191.55933539975598,-109
-75.59096305765466,0
-121.39334598269495,0
-105.15384060744877,-4
13.635497816568375,-54
-75.54579929301427,-38
-395.2441670805503,-289
-19.8329270452437,83
-24.604300641774714,26
-144.46717856557876,68
-947.9720040279718,-964
-789.8999397575058,-451
-170.75646126161166,-30
-38.27680345073911,494
-133.19449167350217,-162
101.07767053434905,-3
356.42771056998487,562
-66.95763400658976,-57
95.00744437252433,81
338.0639060888074,555
-377.81866597237126,-261
-231.79944942952744,-249
-345.05945026481214,-87
383.9896105487738,472
2380.8668729037627,3235
-87.28983411659802,-39
117.5428899130473,188
-87.00525303934528,-79
-61.907874189531746,114
-193.1794332323426,-58
-4111.700841679687,-3577
-1093.925964401586,-1364
-78.87072849428789,-40
-169.95103144947802,-42
20.313315403809796,98
-411.7793271249762,-194
-37.03997813972052,-106
-144.7027712762942,-185
-30.948326277521915,54
-58.15074814355898,13
-1501.9788120109085,-2422
-17.737561726136477,-69
-101.74083878305116,33
-134.87088611022125,173
-82.65055758550189,0
10895.442784545487,4185
-16.25913042230428,-14
101.33820390471917,-38
-34.5571574444472,-35
-170.953833060252,84
-111.45126294838158,-33
-976.8189208255475,-766
-140.25458170098057,-16
-107.19885901920246,119
-71.38563539902785,7
-851.4006449236292,-1081
-1325.7814261646165,-1104
-460.8004865573351,-218
-60.1061892080987,-20
-336.7632390912917,-174
-59.016727240650184,224
-239.9115153893714,-363
-71.36254558384933,67
2377.165141924846,2841
-0.9961647322790981,135
-153.35043113158582,-30
-36.686260024153,9
-1499.0366526834944,-1627
85.11606853500778,43
-502.6596955437328,-145
34.763311912315274,-41
-116.69906485413367,-114
-113.03827693432076,-25
-258.79668802558774,-33
-87.79224967179788,-63
134.20506163776798,192
-44.22342338733398,51
703.1478323868467,1906
-48.52850000277458,-81
5.662750464326621,-382
-141.68757685299528,-199
2.412551183226917,19
-39.98828846270172,-195
-322.0220310601963,-173
426.6002114909509,764
-397.2379909434893,-235
-173.393812327742,130
-768.9766692716835,-997
-339.2914139138792,-267
81.2912535728204,-59
-92.55158995355129,52
31498.071338546564,30702
-1066.1982988489162,-1097
129.89905726149487,283
-4340.3564518671465,-4584
128.90715424915237,261
-262.1884860225539,-981
-112.50876998751328,75
1311.726924557302,1414
-4658.3765764032605,-6648
67.81860960621795,149
-108.9821533081486,6
3.414687212289998,21
-51.48740600904543,26
-483.68073677022346,-305
20.6030183678995,-17
15.47605078901151,48
89.28544041727284,48
-111.78922279676317,-77
-104.60913167665066,-19
9315.687092132126,9357
-325.4680541641883,-164
-175.81338978234845,100
-1340.0543079129825,-983
-324.6454613248908,-208
-77.1067592792562,-29
-64.204285471117,50
-150.9873766292244,48
-10.60487589033238,23
-86.62297906429907,0
-65.75778965518847,52
-115.16003128338156,-13
65.93950838831866,48
-1565.2189004643087,-480
-156.59259037856418,61
-109.88867127831254,-137
-318.7522683168078,-193
-83.27764868222405,-50
-110.23196802178596,-16
222.40000277218684,255
-42.522981599629944,51
201.69329907097193,59
-19.75422126588132,242
-98.2354154046667,-7
-224.58931736286223,82
33.48897293213181,-22
-758.8615878029987,-413
-102.65657528013392,0
200.22959871931175,171
33.52362797273234,27
-140.6726773170857,-73
-142.58997710008066,-93
-8457.786742093904,-11525
-86.30396570414406,62
-1736.9283805008529,-1648
