year,num_disasters
1993,22.0
1994,7.0
1995,12.0
1996,14.0
1997,15.0
1998,14.0
1999,10.0
2000,3.0
2001,19.0
2002,7.0
2003,19.0
2004,24.0
2005,36.0
2006,13.0
2007,15.0
2008,25.0
2009,15.0
2010,12.0
2011,29.0
2012,5.0
2013,22.0
2014,4.0
2015,4.0
2016,12.0
2017,16.0
2018,14.0
2019,4.0
