FIPS_state,FIPS_county,year,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
05,147,2004,255,303,388,514,575
05,149,2004,265,303,388,514,575
06,029,2004,421,473,595,826,914
06,007,2004,385,496,660,905,1082
06,019,2004,451,504,603,840,967
06,039,2004,451,504,603,840,967
06,037,2004,674,807,1021,1378,1646
06,047,2004,460,519,630,871,1027
06,099,2004,549,589,719,1002,1182
06,001,2004,936,1132,1420,1947,2325
06,013,2004,936,1132,1420,1947,2325
06,059,2004,903,987,1220,1698,1889
06,089,2004,438,486,608,844,994
06,065,2004,535,596,729,1011,1193
06,071,2004,535,596,729,1011,1193
06,017,2004,674,759,950,1318,1554
06,061,2004,674,759,950,1318,1554
06,067,2004,674,759,950,1318,1554
06,053,2004,719,841,1014,1408,1478
06,073,2004,822,939,1175,1636,1928
06,041,2004,1084,1405,1775,2435,2577
06,075,2004,1084,1405,1775,2435,2577
06,081,2004,1084,1405,1775,2435,2577
06,085,2004,1294,1475,1821,2496,2803
06,079,2004,641,724,917,1276,1505
06,083,2004,721,800,1015,1412,1595
06,087,2004,843,1004,1341,1865,2185
06,097,2004,792,897,1163,1617,1909
06,077,2004,522,589,757,1054,1242
06,055,2004,809,920,1121,1557,1836
06,095,2004,809,920,1121,1557,1836
06,111,2004,785,902,1142,1518,1769
06,107,2004,427,455,592,826,943
06,113,2004,551,628,779,1077,1274
06,101,2004,380,444,571,796,919
06,115,2004,380,444,571,796,919
06,003,2004,341,512,579,804,865
06,005,2004,471,518,692,963,1074
06,009,2004,412,477,635,885,1041
06,011,2004,373,417,537,748,865
06,015,2004,348,478,635,886,1043
06,021,2004,341,417,537,748,865
06,023,2004,352,487,638,891,1054
06,025,2004,384,482,593,826,865
06,027,2004,354,477,612,803,865
06,031,2004,395,460,574,799,940
06,033,2004,383,488,653,821,1070
06,035,2004,417,422,549,748,865
06,043,2004,369,469,602,789,930
06,045,2004,472,568,698,971,979
06,049,2004,373,417,537,748,865
06,051,2004,520,624,830,1154,1364
06,057,2004,427,584,778,1081,1252
06,063,2004,376,417,537,748,865
06,069,2004,587,691,864,1205,1409
06,091,2004,341,458,563,782,923
06,093,2004,358,417,537,748,865
06,103,2004,357,417,537,748,865
06,105,2004,382,417,537,748,865
06,109,2004,377,515,687,956,1127
08,013,2004,640,767,983,1371,1615
08,041,2004,490,526,701,977,1153
08,001,2004,607,724,964,1337,1579
08,005,2004,607,724,964,1337,1579
08,031,2004,607,724,964,1337,1579
08,035,2004,607,724,964,1337,1579
08,059,2004,607,724,964,1337,1579
08,069,2004,484,597,739,1026,1212
08,077,2004,445,463,579,780,929
08,123,2004,536,592,745,1034,1223
08,101,2004,469,486,608,818,976
08,003,2004,419,434,543,732,873
08,007,2004,501,548,648,875,1040
08,009,2004,419,434,543,732,873
08,011,2004,419,434,543,732,873
08,015,2004,419,434,543,732,873
08,017,2004,419,434,543,732,873
08,019,2004,419,489,552,769,905
08,021,2004,419,434,543,732,873
08,023,2004,419,434,543,732,873
08,025,2004,419,434,543,732,873
08,027,2004,419,434,543,732,873
08,029,2004,419,434,543,732,873
08,033,2004,419,434,543,732,873
08,037,2004,562,614,818,1139,1343
08,039,2004,463,512,587,732,961
08,043,2004,419,434,543,732,873
08,045,2004,486,521,658,822,1077
08,047,2004,419,556,708,933,1032
08,049,2004,498,502,635,795,963
08,051,2004,419,434,543,732,873
08,053,2004,419,443,543,732,873
08,055,2004,419,434,543,732,873
08,057,2004,419,434,543,732,873
08,061,2004,419,434,543,732,873
08,063,2004,419,434,543,732,873
08,065,2004,419,434,543,732,873
08,067,2004,547,605,797,1110,1311
08,071,2004,419,448,543,732,873
08,073,2004,419,434,543,732,873
08,075,2004,419,434,543,732,873
08,079,2004,419,434,543,732,873
08,081,2004,419,434,543,732,873
08,083,2004,419,434,543,732,873
08,085,2004,419,434,549,762,897
08,087,2004,419,434,543,732,873
08,089,2004,419,434,543,732,873
08,091,2004,419,434,549,732,889
08,093,2004,419,464,604,838,954
08,095,2004,419,434,543,732,873
08,097,2004,628,860,1145,1510,1717
08,099,2004,419,434,543,732,873
08,103,2004,419,434,543,732,873
08,105,2004,419,434,543,732,873
08,107,2004,419,506,668,929,1095
08,109,2004,419,434,543,732,873
08,111,2004,419,434,543,732,873
08,113,2004,770,1112,1223,1527,1972
08,115,2004,419,434,543,732,873
08,117,2004,539,645,828,1152,1418
08,119,2004,419,497,661,919,927
08,121,2004,419,434,543,732,873
08,125,2004,419,434,543,732,873
09,001,2004,575,748,900,1126,1404
09,009,2004,575,748,900,1126,1404
09,001,2004,725,867,1084,1430,1649
09,005,2004,725,867,1084,1430,1649
09,003,2004,519,647,827,1037,1259
09,005,2004,519,647,827,1037,1259
09,007,2004,519,647,827,1037,1259
09,011,2004,519,647,827,1037,1259
09,013,2004,519,647,827,1037,1259
09,015,2004,519,647,827,1037,1259
09,007,2004,620,761,939,1204,1395
09,009,2004,620,761,939,1204,1395
09,007,2004,541,654,797,997,1140
09,011,2004,541,654,797,997,1140
09,015,2004,541,654,797,997,1140
09,001,2004,1046,1225,1493,2001,2210
09,005,2004,526,711,881,1098,1231
09,009,2004,526,711,881,1098,1231
09,015,2004,549,663,827,1033,1158
09,003,2004,399,644,727,1010,1191
09,005,2004,463,631,842,1050,1196
09,007,2004,686,777,1037,1444,1703
09,011,2004,581,712,808,1042,1323
09,013,2004,399,644,727,1010,1017
09,015,2004,459,561,727,911,1142
10,001,2004,527,583,663,861,980
10,003,2004,502,661,771,1048,1266
10,005,2004,460,489,624,820,876
11,001,2004,913,1039,1218,1660,2002
12,035,2004,419,492,628,833,885
12,127,2004,419,492,628,833,885
12,011,2004,567,668,827,1151,1353
12,071,2004,450,518,625,874,911
12,085,2004,501,549,711,925,997
12,111,2004,501,549,711,925,997
12,091,2004,436,477,542,735,866
12,001,2004,436,477,580,795,939
12,019,2004,501,561,675,892,993
12,031,2004,501,561,675,892,993
12,089,2004,501,561,675,892,993
12,109,2004,501,561,675,892,993
12,105,2004,419,459,518,642,702
12,009,2004,419,491,613,821,956
12,086,2004,577,726,904,1241,1439
12,021,2004,467,658,793,1102,1227
12,083,2004,436,477,542,711,834
12,069,2004,606,687,820,1076,1312
12,095,2004,606,687,820,1076,1312
12,097,2004,606,687,820,1076,1312
12,117,2004,606,687,820,1076,1312
12,005,2004,436,477,542,691,741
12,033,2004,436,477,542,723,853
12,113,2004,436,477,542,723,853
12,015,2004,436,502,668,926,1092
12,081,2004,438,557,708,910,991
12,115,2004,438,557,708,910,991
12,039,2004,446,496,652,852,1027
12,073,2004,446,496,652,852,1027
12,053,2004,530,630,781,1037,1257
12,057,2004,530,630,781,1037,1257
12,101,2004,530,630,781,1037,1257
12,103,2004,530,630,781,1037,1257
12,099,2004,570,665,823,1092,1352
12,003,2004,410,449,508,630,684
12,007,2004,410,449,508,630,684
12,013,2004,410,449,508,630,684
12,017,2004,410,449,508,630,684
12,023,2004,410,449,508,630,684
12,027,2004,410,449,508,630,684
12,029,2004,410,449,508,630,684
12,037,2004,410,449,508,630,684
12,041,2004,410,449,508,630,684
12,043,2004,410,449,508,630,684
12,045,2004,410,449,508,630,684
12,047,2004,410,449,508,630,684
12,049,2004,410,449,508,630,684
12,051,2004,410,449,522,656,735
12,055,2004,410,449,508,632,707
12,059,2004,410,449,508,630,684
12,061,2004,410,513,660,826,924
12,063,2004,410,449,508,630,684
12,065,2004,410,449,508,630,684
12,067,2004,410,449,508,630,684
12,075,2004,410,449,508,630,684
12,077,2004,410,449,508,630,684
12,079,2004,410,449,508,630,684
12,087,2004,588,663,852,1174,1397
12,093,2004,410,449,508,630,690
12,107,2004,410,449,508,630,684
12,119,2004,410,449,508,630,684
12,121,2004,410,449,508,630,684
12,123,2004,410,449,508,630,685
12,125,2004,410,449,508,630,684
12,129,2004,410,449,508,630,684
12,131,2004,410,449,508,654,818
12,133,2004,410,449,508,630,684
13,095,2004,326,382,466,636,689
13,177,2004,326,382,466,636,689
13,059,2004,401,432,560,764,921
13,195,2004,401,432,560,764,921
13,219,2004,401,432,560,764,921
13,013,2004,727,810,944,1259,1523
13,015,2004,727,810,944,1259,1523
13,045,2004,727,810,944,1259,1523
13,057,2004,727,810,944,1259,1523
13,063,2004,727,810,944,1259,1523
13,067,2004,727,810,944,1259,1523
13,077,2004,727,810,944,1259,1523
13,089,2004,727,810,944,1259,1523
13,097,2004,727,810,944,1259,1523
13,113,2004,727,810,944,1259,1523
13,117,2004,727,810,944,1259,1523
13,121,2004,727,810,944,1259,1523
13,135,2004,727,810,944,1259,1523
13,151,2004,727,810,944,1259,1523
13,217,2004,727,810,944,1259,1523
13,223,2004,727,810,944,1259,1523
13,227,2004,727,810,944,1259,1523
13,247,2004,727,810,944,1259,1523
13,255,2004,727,810,944,1259,1523
13,297,2004,727,810,944,1259,1523
13,073,2004,411,493,580,788,931
13,189,2004,411,493,580,788,931
13,245,2004,411,493,580,788,931
13,047,2004,393,460,552,713,814
13,083,2004,393,460,552,713,814
13,295,2004,393,460,552,713,814
13,053,2004,377,419,503,656,712
13,145,2004,377,419,503,656,712
13,215,2004,377,419,503,656,712
13,021,2004,421,469,546,752,775
13,153,2004,421,469,546,752,775
13,169,2004,421,469,546,752,775
13,225,2004,421,469,546,752,775
13,289,2004,421,469,546,752,775
13,029,2004,392,489,568,765,796
13,051,2004,392,489,568,765,796
13,103,2004,392,489,568,765,796
13,001,2004,298,359,439,569,648
13,003,2004,298,359,439,569,648
13,005,2004,298,359,439,569,648
13,007,2004,298,359,439,569,648
13,009,2004,298,382,465,597,652
13,011,2004,298,359,439,569,648
13,017,2004,298,359,439,569,656
13,019,2004,298,359,439,569,648
13,023,2004,298,359,439,569,648
13,025,2004,298,359,439,569,648
13,027,2004,298,359,439,569,648
13,031,2004,359,365,468,604,767
13,033,2004,298,359,439,569,648
13,035,2004,298,395,523,702,735
13,037,2004,298,359,439,569,648
13,039,2004,418,472,528,735,869
13,043,2004,298,359,439,569,648
13,049,2004,298,359,439,569,648
13,055,2004,298,359,439,569,648
13,061,2004,298,359,439,569,648
13,065,2004,298,359,439,569,648
13,069,2004,298,359,439,569,656
13,071,2004,298,359,439,569,648
13,075,2004,298,359,439,569,648
13,079,2004,298,359,439,569,648
13,081,2004,302,359,439,569,648
13,085,2004,298,389,516,647,796
13,087,2004,298,359,439,569,648
13,091,2004,298,359,439,569,648
13,093,2004,298,359,439,569,648
13,099,2004,298,359,439,569,648
13,101,2004,298,359,439,569,648
13,105,2004,298,359,439,569,648
13,107,2004,298,359,439,569,648
13,109,2004,298,359,439,569,648
13,111,2004,298,359,439,569,648
13,115,2004,298,359,440,580,648
13,119,2004,298,359,439,569,648
13,123,2004,298,359,439,569,648
13,125,2004,298,359,439,569,648
13,127,2004,416,465,526,708,867
13,129,2004,353,359,448,577,738
13,131,2004,304,359,439,569,648
13,133,2004,298,359,439,569,648
13,137,2004,320,359,439,569,653
13,139,2004,316,480,564,707,788
13,141,2004,298,359,439,569,648
13,143,2004,298,359,439,569,648
13,147,2004,298,359,439,569,648
13,149,2004,298,359,439,569,648
13,155,2004,298,359,439,569,648
13,157,2004,332,359,451,569,742
13,159,2004,298,359,445,604,648
13,161,2004,298,359,439,569,648
13,163,2004,298,359,439,569,656
13,165,2004,298,359,439,569,648
13,167,2004,298,359,439,569,648
13,171,2004,298,369,439,569,696
13,173,2004,298,359,439,569,648
13,175,2004,305,359,439,569,648
13,179,2004,371,414,471,655,660
13,181,2004,298,359,439,569,648
13,183,2004,298,389,439,569,648
13,185,2004,334,404,489,685,759
13,187,2004,298,402,452,605,742
13,191,2004,298,359,439,569,648
13,193,2004,298,359,439,569,648
13,197,2004,298,359,439,569,648
13,199,2004,298,359,439,569,648
13,201,2004,298,359,439,569,648
13,205,2004,298,359,439,569,648
13,207,2004,298,359,439,578,648
13,209,2004,298,359,439,569,648
13,211,2004,298,359,455,569,648
13,213,2004,298,359,439,569,648
13,221,2004,298,359,439,569,648
13,229,2004,298,359,439,569,648
13,231,2004,346,375,476,662,666
13,233,2004,298,359,439,595,648
13,235,2004,298,359,439,569,648
13,237,2004,298,359,439,569,656
13,239,2004,298,359,439,569,648
13,241,2004,298,359,439,569,648
13,243,2004,298,359,439,569,648
13,249,2004,298,359,439,569,648
13,251,2004,298,359,439,569,648
13,253,2004,298,359,439,569,648
13,257,2004,298,359,439,569,648
13,259,2004,298,359,439,569,648
13,261,2004,298,365,439,569,648
13,263,2004,298,359,439,569,648
13,265,2004,298,359,439,569,648
13,267,2004,298,359,439,569,648
13,269,2004,298,359,439,569,648
13,271,2004,298,359,439,569,648
13,273,2004,298,359,439,569,648
13,275,2004,298,370,439,569,648
13,277,2004,298,359,439,569,648
13,279,2004,298,359,439,569,648
13,281,2004,298,359,439,569,648
13,283,2004,298,359,439,569,648
13,285,2004,298,406,457,571,648
13,287,2004,298,359,439,569,648
13,291,2004,298,359,458,574,648
13,293,2004,309,359,439,569,648
13,299,2004,330,370,439,569,683
13,301,2004,298,359,439,569,648
13,303,2004,298,359,439,569,648
13,305,2004,309,359,439,569,648
13,307,2004,298,359,439,569,648
13,309,2004,298,359,439,569,648
13,311,2004,298,359,439,569,662
13,313,2004,298,392,471,602,710
13,315,2004,298,359,439,569,648
13,317,2004,298,359,439,569,648
13,319,2004,298,359,439,569,648
13,321,2004,298,359,439,569,648
15,003,2004,642,769,905,1225,1325
15,001,2004,474,618,711,944,1164
15,007,2004,605,904,1102,1458,1577
15,009,2004,765,950,1159,1496,1695
16,001,2004,428,487,593,822,973
16,027,2004,428,487,593,822,973
16,005,2004,335,388,499,679,803
16,003,2004,302,351,452,600,710
16,007,2004,302,351,452,600,710
16,009,2004,302,351,452,600,710
16,011,2004,323,351,452,600,710
16,013,2004,467,515,686,957,1127
16,015,2004,302,390,452,600,710
16,017,2004,348,431,535,739,850
16,019,2004,309,388,535,718,876
16,021,2004,302,351,452,600,710
16,023,2004,302,351,452,600,710
16,025,2004,302,351,452,600,710
16,029,2004,302,351,452,600,710
16,031,2004,302,351,452,600,710
16,033,2004,302,351,452,600,710
16,035,2004,302,351,452,600,710
16,037,2004,302,351,452,600,710
16,039,2004,302,351,452,600,710
16,041,2004,302,351,452,600,710
16,043,2004,302,351,452,600,710
16,045,2004,302,351,452,600,710
16,047,2004,302,351,452,600,710
16,049,2004,302,351,452,600,710
16,051,2004,312,351,452,600,710
16,053,2004,302,351,452,600,710
16,055,2004,385,452,592,824,974
16,057,2004,302,351,452,600,720
16,059,2004,302,351,452,600,710
16,061,2004,302,351,452,600,710
16,063,2004,302,351,452,600,710
16,065,2004,302,351,452,600,710
16,067,2004,302,351,452,600,710
16,069,2004,309,351,452,600,710
16,071,2004,303,351,452,600,710
16,073,2004,302,351,452,600,710
16,075,2004,302,351,452,600,710
16,077,2004,302,351,452,600,710
16,079,2004,302,351,452,600,710
16,081,2004,330,351,452,612,725
16,083,2004,302,351,457,604,710
16,085,2004,315,351,452,600,710
16,087,2004,302,351,452,600,710
17,113,2004,366,446,598,830,877
17,019,2004,403,495,640,878,1053
17,031,2004,665,797,951,1189,1330
17,043,2004,665,797,951,1189,1330
17,089,2004,665,797,951,1189,1330
17,097,2004,665,797,951,1189,1330
17,111,2004,665,797,951,1189,1330
17,197,2004,665,797,951,1189,1330
17,073,2004,302,417,515,666,723
17,161,2004,302,417,515,666,723
17,115,2004,292,378,485,656,679
17,037,2004,508,591,748,1041,1207
17,063,2004,440,509,676,894,950
17,091,2004,400,484,643,823,904
17,093,2004,614,699,843,1173,1179
17,143,2004,406,447,600,799,981
17,179,2004,406,447,600,799,981
17,203,2004,406,447,600,799,981
17,007,2004,390,499,607,763,891
17,141,2004,390,499,607,763,891
17,201,2004,390,499,607,763,891
17,027,2004,439,536,695,905,999
17,083,2004,439,536,695,905,999
17,119,2004,439,536,695,905,999
17,133,2004,439,536,695,905,999
17,163,2004,439,536,695,905,999
17,129,2004,336,417,555,738,840
17,167,2004,336,417,555,738,840
17,001,2004,277,311,400,525,638
17,003,2004,277,311,400,525,589
17,005,2004,277,311,400,525,589
17,009,2004,277,311,400,525,589
17,011,2004,277,350,409,525,589
17,013,2004,277,311,400,525,589
17,015,2004,277,311,400,525,589
17,017,2004,278,311,400,525,589
17,021,2004,298,311,402,528,589
17,023,2004,277,311,400,525,589
17,025,2004,277,311,400,525,589
17,029,2004,292,349,463,616,727
17,033,2004,277,311,400,525,589
17,035,2004,277,311,400,525,589
17,039,2004,281,311,400,530,589
17,041,2004,296,311,400,525,589
17,045,2004,277,311,400,525,589
17,047,2004,277,311,400,525,589
17,049,2004,277,320,400,525,589
17,051,2004,277,311,400,525,589
17,053,2004,263,370,481,618,675
17,055,2004,277,311,400,525,589
17,057,2004,285,319,411,540,607
17,059,2004,277,311,400,525,589
17,061,2004,277,311,400,525,589
17,065,2004,277,312,400,525,589
17,067,2004,277,311,400,525,589
17,069,2004,277,311,400,525,589
17,071,2004,277,311,400,525,589
17,075,2004,277,311,400,525,589
17,077,2004,335,336,426,604,676
17,079,2004,277,313,400,525,589
17,081,2004,278,326,407,555,589
17,085,2004,306,331,400,525,589
17,087,2004,277,311,400,525,589
17,095,2004,277,311,400,525,610
17,099,2004,335,394,525,710,796
17,101,2004,277,311,400,525,589
17,103,2004,308,317,425,531,595
17,105,2004,277,341,456,587,641
17,107,2004,310,329,439,549,688
17,109,2004,277,316,400,525,631
17,117,2004,277,311,400,525,589
17,121,2004,282,311,400,525,589
17,123,2004,277,311,400,525,589
17,125,2004,277,311,400,525,596
17,127,2004,278,311,400,525,589
17,131,2004,277,311,400,525,589
17,135,2004,277,311,400,525,589
17,137,2004,277,352,466,622,655
17,139,2004,277,311,400,539,589
17,145,2004,278,311,400,525,589
17,147,2004,277,336,438,596,614
17,149,2004,277,311,400,525,589
17,151,2004,277,311,400,525,589
17,153,2004,277,311,400,525,589
17,155,2004,277,311,400,525,589
17,157,2004,277,311,400,525,589
17,159,2004,277,311,400,525,589
17,165,2004,277,311,400,525,589
17,169,2004,277,311,400,525,589
17,171,2004,277,311,400,525,589
17,173,2004,277,311,400,525,589
17,175,2004,277,311,400,525,589
17,177,2004,292,334,424,530,593
17,181,2004,277,311,400,525,589
17,183,2004,277,354,441,551,618
17,185,2004,277,311,400,525,623
17,187,2004,292,311,400,525,589
17,189,2004,277,331,442,553,719
17,191,2004,277,311,400,525,589
17,193,2004,277,311,400,525,589
17,195,2004,292,332,443,554,625
17,199,2004,277,311,402,558,589
18,105,2004,398,514,684,952,1125
18,029,2004,392,503,672,901,973
18,039,2004,402,459,579,741,852
18,129,2004,344,410,532,664,744
18,163,2004,344,410,532,664,744
18,173,2004,344,410,532,664,744
18,001,2004,344,438,546,703,762
18,003,2004,344,438,546,703,762
18,033,2004,344,438,546,703,762
18,069,2004,344,438,546,703,762
18,179,2004,344,438,546,703,762
18,183,2004,344,438,546,703,762
18,089,2004,447,588,732,921,1028
18,127,2004,447,588,732,921,1028
18,011,2004,393,492,592,741,830
18,057,2004,393,492,592,741,830
18,059,2004,393,492,592,741,830
18,063,2004,393,492,592,741,830
18,081,2004,393,492,592,741,830
18,095,2004,393,492,592,741,830
18,097,2004,393,492,592,741,830
18,109,2004,393,492,592,741,830
18,145,2004,393,492,592,741,830
18,067,2004,370,437,571,734,799
18,159,2004,370,437,571,734,799
18,023,2004,375,476,634,882,1042
18,157,2004,375,476,634,882,1042
18,019,2004,369,475,583,804,848
18,043,2004,369,475,583,804,848
18,061,2004,369,475,583,804,848
18,143,2004,369,475,583,804,848
18,035,2004,386,480,570,772,911
18,115,2004,325,366,468,603,664
18,141,2004,345,460,603,754,847
18,021,2004,311,363,465,579,646
18,165,2004,311,363,465,579,646
18,167,2004,311,363,465,579,646
18,005,2004,425,457,551,688,906
18,007,2004,299,336,432,554,611
18,009,2004,299,336,444,555,623
18,013,2004,299,397,523,726,752
18,015,2004,299,336,432,554,611
18,017,2004,299,336,432,554,611
18,025,2004,299,336,432,554,611
18,027,2004,299,336,432,554,611
18,031,2004,299,365,466,604,657
18,037,2004,299,336,432,554,629
18,041,2004,316,357,456,586,689
18,045,2004,299,336,432,554,611
18,047,2004,299,336,432,554,682
18,049,2004,329,346,432,580,611
18,051,2004,299,336,432,554,611
18,053,2004,315,336,432,556,611
18,055,2004,299,336,432,554,611
18,065,2004,328,369,472,610,668
18,071,2004,367,385,475,628,675
18,073,2004,299,363,432,554,611
18,075,2004,299,336,432,554,611
18,077,2004,299,336,432,554,611
18,079,2004,312,336,432,554,611
18,083,2004,329,364,472,600,662
18,085,2004,299,396,478,620,669
18,087,2004,304,352,447,582,677
18,091,2004,304,368,493,631,689
18,093,2004,299,336,432,558,611
18,099,2004,355,360,478,601,669
18,101,2004,299,336,432,554,611
18,103,2004,299,336,432,554,611
18,107,2004,431,452,565,717,793
18,111,2004,312,336,432,554,611
18,113,2004,346,353,438,565,625
18,117,2004,299,336,432,554,611
18,119,2004,299,336,432,554,639
18,121,2004,299,336,432,554,638
18,123,2004,299,336,432,554,611
18,125,2004,299,336,432,554,611
18,131,2004,299,336,432,554,611
18,133,2004,325,378,465,625,630
18,135,2004,299,336,432,554,611
18,137,2004,299,336,432,564,639
18,139,2004,307,336,432,554,639
18,147,2004,299,336,432,554,611
18,149,2004,299,336,432,554,611
18,151,2004,366,412,494,618,689
18,153,2004,299,336,432,554,611
18,155,2004,299,336,432,554,611
18,161,2004,299,336,432,554,611
