,AQI,Net Migration Outflow,year
278,49.0,-504,2005
279,48.0,-315,2006
280,39.0,-469,2007
281,33.0,-418,2008
282,29.0,-214,2009
283,29.0,-373,2010
284,46.0,-307,2011
285,49.0,-205,2012
286,44.0,-535,2013
287,44.0,-185,2014
288,41.0,-312,2015
289,41.0,-428,2016
290,42.0,-869,2017
291,35.0,-470,2018
292,36.0,-540,2019
293,17.0,-100,1993
294,19.0,-5,1994
295,18.0,11,1995
296,16.0,-5,1996
297,17.0,-71,1997
298,14.0,-15,1998
299,16.0,4,1993
300,16.0,124,1994
301,13.0,118,1995
302,14.0,128,1996
303,18.0,46,1997
304,43.0,-16,2001
305,45.0,-75,2002
306,40.0,7,2003
307,38.0,-38,2004
308,42.0,-39,2005
309,39.0,49,2006
310,43.0,10,2007
311,39.0,40,2008
312,36.0,72,2009
313,40.0,32,2010
314,41.0,33,2011
315,43.0,17,2012
316,38.0,-14,2013
317,39.0,-40,2014
318,39.0,23,2015
319,38.0,-34,2016
320,39.0,32,2017
321,32.0,-32,2018
322,34.0,80,2019
323,33.0,-6102,1993
324,32.0,-5609,1994
325,31.0,-6151,1995
326,31.0,-3218,1996
327,31.0,-3009,1997
328,31.0,-2471,1998
329,33.0,-3305,1999
330,34.0,-2189,2000
331,37.0,-3814,2001
332,35.0,-4457,2002
333,33.0,-4996,2003
334,33.0,-4053,2004
335,38.0,-4265,2005
336,32.0,-4467,2006
337,45.0,-2709,2007
338,40.0,-1411,2008
339,43.0,3,2009
340,41.0,-565,2010
341,45.0,866,2011
342,43.0,309,2012
343,38.0,-158,2013
344,37.0,-571,2014
345,43.0,-722,2015
346,37.0,-1451,2016
347,40.0,-3196,2017
348,42.0,-1739,2018
349,44.0,-1596,2019
350,52.0,-288,2000
351,42.0,-166,2001
352,35.0,-604,2002
353,36.0,-152,2003
354,36.0,183,2004
355,39.0,97,2005
356,35.0,-617,2006
357,39.0,-584,2007
358,38.0,13,2008
359,37.0,-515,2009
360,40.0,73,2010
361,34.0,448,2011
362,38.0,-288,2012
363,37.0,240,2013
364,36.0,1385,2014
365,37.0,579,2015
366,38.0,695,2016
367,41.0,1259,2017
368,44.0,982,2018
369,44.0,547,2019
370,34.0,529,1993
371,41.0,542,1994
372,40.0,664,1995
373,40.0,725,1996
374,37.0,847,1997
375,43.0,553,1998
376,41.0,448,1999
377,43.0,724,2000
378,43.0,724,2001
379,41.0,817,2002
380,41.0,870,2003
381,37.0,442,2004
382,43.0,326,2005
383,39.0,411,2006
384,51.0,223,2007
385,43.0,407,2008
386,45.0,283,2009
387,47.0,221,2010
388,48.0,135,2011
389,45.0,380,2012
390,41.0,562,2013
391,42.0,473,2014
392,41.0,28,2015
393,41.0,317,2016
394,48.0,737,2017
395,51.0,318,2018
396,44.0,160,2019
397,30.0,-3753,1993
398,31.0,-4076,1994
399,32.0,-4333,1995
400,31.0,-5843,1996
401,31.0,-3598,1997
402,33.0,-2446,1998
403,34.0,-2386,1999
404,35.0,-4697,2000
405,35.0,-2181,2001
406,36.0,-2102,2002
407,33.0,-1406,2003
408,31.0,-1738,2004
409,35.0,-1342,2005
410,31.0,-400,2006
411,35.0,1048,2007
412,34.0,824,2008
413,34.0,1149,2009
414,37.0,1558,2010
415,34.0,2928,2011
416,34.0,1753,2012
417,34.0,-89,2013
418,35.0,1875,2014
419,35.0,985,2015
420,34.0,1053,2016
421,35.0,2342,2017
422,35.0,2111,2018
423,40.0,1757,2019
424,21.0,-677,1993
425,27.0,-460,1994
426,23.0,-517,1995
427,22.0,-297,1996
428,20.0,-337,1997
429,22.0,-212,1998
430,21.0,-123,1999
431,25.0,135,2000
432,24.0,-219,2001
433,27.0,-370,2002
434,24.0,-395,2003
435,25.0,-438,2004
436,28.0,-765,2005
437,28.0,-653,2006
438,53.0,-590,2007
439,45.0,-413,2008
440,38.0,24,2009
441,35.0,-248,2010
442,1.0,-165,2011
443,1.0,-36,2012
444,1.0,35,2013
445,3.0,-255,2014
446,1.0,-368,2015
447,1.0,82,2016
448,1.0,-411,2017
449,1.0,-351,2018
450,0.0,-316,2019
451,36.0,-299,1993
452,36.0,-310,1994
453,35.0,-225,1995
454,37.0,-219,1996
455,38.0,-56,1997
456,38.0,-22,1998
457,38.0,-298,1999
458,38.0,-92,2000
459,37.0,-51,2001
460,35.0,-107,2002
461,37.0,-65,2003
462,34.0,-130,2004
463,38.0,-14,2005
464,33.0,51,2006
465,34.0,-170,2007
466,32.0,138,2008
467,33.0,165,2009
468,37.0,-226,2010
469,38.0,-1,2011
470,36.0,280,2012
471,35.0,-99,2013
472,29.0,2,2014
473,30.0,115,2015
474,26.0,-300,2016
475,34.0,-146,2017
476,34.0,-320,2018
477,33.0,259,2019
478,43.0,1041,1993
479,44.0,1125,1994
480,45.0,650,1995
481,44.0,753,1996
482,43.0,1076,1997
483,45.0,1207,1998
484,46.0,1231,1999
485,47.0,1410,2000
486,46.0,1489,2001
487,45.0,727,2002
488,44.0,904,2003
489,41.0,809,2004
490,46.0,620,2005
491,43.0,799,2006
492,53.0,612,2007
493,47.0,1009,2008
494,44.0,-397,2009
495,51.0,1318,2010
496,50.0,796,2011
497,49.0,211,2012
498,44.0,933,2013
499,41.0,1062,2014
500,42.0,137,2015
501,41.0,1202,2016
502,44.0,3250,2017
503,43.0,1347,2018
504,41.0,1056,2019
505,29.0,40,1993
506,34.0,627,1994
507,31.0,304,1995
508,31.0,584,1996
509,31.0,424,1997
510,29.0,389,1998
511,37.0,518,1999
512,33.0,1048,2000
513,36.0,707,2001
514,35.0,548,2002
515,33.0,592,2003
516,31.0,410,2004
517,34.0,479,2005
518,34.0,503,2006
519,35.0,-284,2007
520,34.0,1191,2008
521,29.0,489,2009
522,32.0,405,2010
523,31.0,703,2011
524,31.0,409,2012
525,32.0,900,2013
526,34.0,475,2014
527,36.0,549,2015
528,33.0,1045,2016
529,40.0,1093,2017
530,40.0,528,2018
531,42.0,764,2019
532,40.0,9,1993
533,46.0,-242,1994
534,48.0,-45,1995
535,44.0,-85,1996
536,46.0,133,1997
537,44.0,61,1998
538,45.0,-47,1999
539,42.0,-50,2000
540,37.0,19,2001
541,37.0,105,2002
542,39.0,6,2003
543,38.0,-29,2004
544,41.0,48,2005
545,38.0,100,2006
546,40.0,156,2007
547,37.0,180,2008
548,33.0,59,2009
549,36.0,203,2010
550,36.0,97,2011
551,37.0,102,2012
552,35.0,5,2013
553,37.0,18,2014
554,32.0,60,2015
555,39.0,60,2016
556,44.0,57,2017
557,41.0,53,2018
558,40.0,-6,2019
559,77.0,-349,1993
560,97.0,-360,1994
561,102.0,-215,1995
562,92.0,-181,1996
563,77.0,-597,1997
564,75.0,315,1998
565,80.0,75,1999
566,73.0,21,2000
567,73.0,-71,2001
568,67.0,76,2002
569,64.0,-549,2003
570,59.0,-249,2004
571,65.0,-98,2005
572,61.0,-264,2006
573,58.0,-445,2007
574,54.0,-7,2008
575,55.0,276,2009
576,61.0,417,2010
577,51.0,549,2011
578,53.0,287,2012
579,50.0,439,2013
580,47.0,-110,2014
581,44.0,1,2015
582,44.0,-147,2016
583,46.0,160,2017
584,46.0,-206,2018
585,49.0,103,2019
586,1.0,-310,2016
587,3.0,-537,2017
588,3.0,-177,2018
589,1.0,-79,2019
590,41.0,-61,1993
591,45.0,60,1994
592,46.0,-43,1995
593,42.0,69,1996
594,42.0,-3,1997
595,47.0,-86,1998
596,45.0,-43,1999
597,42.0,26,2000
598,44.0,26,2001
599,44.0,121,2002
600,42.0,-57,2003
601,40.0,42,2004
602,44.0,109,2005
603,39.0,18,2006
604,45.0,141,2007
605,38.0,-12,2008
606,41.0,78,2009
607,44.0,27,2010
608,43.0,95,2011
609,46.0,-34,2012
610,41.0,4,2013
611,38.0,-107,2014
612,40.0,-69,2015
613,39.0,42,2016
614,43.0,211,2017
615,39.0,-34,2018
616,40.0,5,2019
617,17.0,-25,1993
618,19.0,167,1994
619,18.0,-78,1995
620,17.0,219,1996
621,19.0,368,1997
622,20.0,257,1998
623,20.0,256,1999
624,19.0,214,2000
625,17.0,389,2001
626,16.0,176,2002
627,17.0,197,2003
628,18.0,141,2004
629,22.0,300,2005
630,19.0,377,2006
631,20.0,497,2007
632,16.0,447,2008
633,14.0,465,2009
634,20.0,89,2010
635,44.0,-35,1997
636,46.0,-44,1998
637,44.0,38,1999
638,43.0,96,2000
639,44.0,70,2001
640,48.0,43,2002
641,48.0,30,2003
642,44.0,-27,2004
643,48.0,58,2005
644,43.0,10,2006
645,54.0,3,2007
646,42.0,21,2008
647,42.0,-5,2009
648,46.0,30,2010
649,45.0,-20,2011
650,49.0,-29,2012
651,41.0,-29,2013
652,41.0,-2,2014
653,38.0,64,2015
654,39.0,96,2016
655,41.0,19,2017
656,40.0,66,2018
657,43.0,36,2019
658,31.0,-3004,1993
659,32.0,-3068,1994
660,29.0,-3379,1995
661,29.0,-5045,1996
662,29.0,-4576,1997
663,28.0,-3739,1998
664,30.0,-4738,1999
665,35.0,-5340,2000
666,35.0,-6964,2001
667,36.0,-7200,2002
668,31.0,-5761,2003
669,31.0,-4989,2004
670,35.0,-1856,2005
671,30.0,-2187,2006
672,34.0,-3366,2007
673,33.0,-1594,2008
674,32.0,-1098,2009
675,36.0,379,2010
676,32.0,230,2011
677,31.0,-1173,2012
678,30.0,229,2013
679,33.0,-743,2014
680,35.0,-1188,2015
681,35.0,-853,2016
682,38.0,-1600,2017
683,38.0,-494,2018
684,40.0,157,2019
685,38.0,-93,1993
686,42.0,113,1994
687,43.0,-166,1995
688,42.0,-247,1996
689,46.0,-57,1997
690,46.0,-146,1998
691,44.0,-3,1999
692,43.0,-25,2000
693,47.0,-78,2001
694,45.0,-271,2002
695,47.0,-86,2003
696,43.0,-213,2004
697,48.0,-128,2005
698,41.0,-113,2006
699,44.0,-89,2007
700,41.0,-186,2008
701,39.0,43,2009
702,38.0,56,2010
703,44.0,8,2011
704,49.0,-60,2012
705,41.0,139,2013
706,39.0,-66,2014
707,40.0,-24,2015
708,40.0,105,2016
709,43.0,10,2017
710,42.0,23,2018
711,42.0,-410,2019
712,37.0,-124,1994
713,39.0,48,1995
714,38.0,-105,1996
715,36.0,-98,1997
716,37.0,71,1998
717,39.0,-76,1999
718,35.0,-112,2000
719,36.0,-142,2001
720,36.0,-79,2002
721,36.0,-80,2003
722,33.0,-11,2004
723,36.0,-99,2005
724,30.0,-63,2006
725,36.0,-39,2007
726,36.0,-33,2008
727,32.0,-23,2009
728,37.0,77,2010
729,35.0,-13,2011
730,36.0,-84,2012
731,37.0,-46,2013
732,35.0,-7,2014
733,34.0,7,2015
734,33.0,-164,2016
735,34.0,-80,2017
736,33.0,-34,2018
737,34.0,-74,2019
738,29.0,-50,1997
739,33.0,-156,1998
740,42.0,-84,1999
741,41.0,-261,2000
742,31.0,-95,2001
743,36.0,-173,2002
744,33.0,-172,2003
745,27.0,-139,2004
746,39.0,-272,2005
747,40.0,-206,2006
748,38.0,-327,2007
749,37.0,-270,2008
750,36.0,-216,2009
751,37.0,-303,2010
752,39.0,-151,2011
753,43.0,-174,2012
754,40.0,-348,2013
755,35.0,-281,2014
756,35.0,-239,2015
757,33.0,-716,2016
758,39.0,-981,2017
759,24.0,-33,1993
760,4.0,54,1994
761,31.0,-20,1995
762,33.0,56,1996
763,30.0,-37,1997
764,31.0,12,1998
765,31.0,-3,1999
766,38.0,-18,2000
767,35.0,38,2001
768,38.0,-68,2002
769,38.0,-17,2003
770,36.0,-10,2004
771,37.0,-16,2005
772,28.0,-75,2006
773,31.0,21,2007
774,29.0,10,2008
775,31.0,61,2009
776,36.0,64,2010
777,39.0,1,2011
778,44.0,12,2012
779,43.0,6,2013
780,41.0,3,2014
781,40.0,-47,2015
782,43.0,-5,2016
783,41.0,3,2017
784,38.0,70,2018
785,37.0,-19,2019
786,39.0,663,1997
787,36.0,658,1998
788,42.0,463,1999
789,36.0,419,2000
790,33.0,603,2001
791,37.0,381,2002
792,34.0,241,2003
793,32.0,499,2004
794,37.0,661,2005
795,39.0,245,2006
796,39.0,221,2007
797,38.0,182,2008
798,35.0,347,2009
799,36.0,809,2010
800,36.0,736,2011
801,43.0,971,2012
802,41.0,551,2013
803,37.0,713,2014
804,36.0,340,2015
805,35.0,757,2016
806,18.0,101,1993
807,19.0,635,1994
808,19.0,-10,1995
809,24.0,304,1996
810,22.0,1103,1997
811,25.0,926,1998
812,34.0,616,1999
813,33.0,666,2000
814,18.0,913,2001
815,4.0,842,2002
816,39.0,876,2003
817,38.0,833,2004
818,37.0,1144,2005
819,38.0,651,2006
820,38.0,533,2007
821,36.0,364,2008
822,32.0,146,2009
823,34.0,215,2010
824,33.0,180,2011
825,16.0,483,2012
826,1.0,505,2013
827,1.0,557,2014
828,1.0,276,2015
829,0.0,525,2016
830,9.0,752,2017
831,33.0,8,2018
832,28.0,178,2019
833,42.0,-22,1999
834,36.0,-174,2000
835,38.0,318,2001
836,39.0,-55,2002
837,40.0,-32,2003
838,33.0,-258,2004
839,34.0,-131,2005
840,35.0,-75,2006
841,36.0,-18,2007
842,26.0,20,2008
843,28.0,34,2009
844,29.0,-226,2010
845,40.0,248,2011
846,43.0,248,2012
847,35.0,56,2013
848,35.0,30,2014
849,32.0,-90,2015
850,29.0,84,2016
851,32.0,-223,2017
852,33.0,83,2018
853,29.0,-54,2019
854,38.0,605,1993
855,40.0,552,1994
856,41.0,229,1995
857,48.0,166,1996
858,50.0,449,1997
859,43.0,474,1998
860,50.0,114,1999
861,55.0,463,2000
862,55.0,775,2001
863,53.0,758,2002
864,52.0,470,2003
865,49.0,310,2004
866,58.0,187,2005
867,53.0,-12,2006
868,59.0,41,2007
869,52.0,-3264,2008
870,51.0,-4183,2009
871,56.0,-1477,2010
872,54.0,-699,2011
873,55.0,-274,2012
874,55.0,-578,2013
875,56.0,-187,2014
876,56.0,-291,2015
877,55.0,-195,2016
878,51.0,97,2017
879,52.0,-152,2018
880,45.0,-41,2019
881,35.0,-1103,1993
882,33.0,-166,1994
883,37.0,-1069,1995
884,31.0,405,1996
885,34.0,1520,1997
886,28.0,964,1998
887,32.0,-297,1999
888,43.0,415,2000
889,44.0,411,2001
890,42.0,-146,2002
891,41.0,622,2003
892,39.0,236,2004
893,45.0,-1448,2005
894,41.0,-1392,2006
895,44.0,-1222,2007
896,44.0,-947,2008
897,40.0,-1387,2009
898,41.0,-1027,2010
899,43.0,6,2011
900,44.0,-681,2012
901,42.0,-1511,2013
902,38.0,-464,2014
903,36.0,-732,2015
904,37.0,-465,2016
905,40.0,-330,2017
906,40.0,-93,2018
907,39.0,1355,2019
908,38.0,35,2003
909,33.0,92,2004
910,38.0,68,2005
911,35.0,108,2006
912,36.0,62,2007
913,33.0,72,2008
914,35.0,89,2009
915,47.0,-117,1993
916,49.0,-137,1994
917,50.0,-263,1995
918,42.0,-167,1996
919,47.0,-287,1997
920,54.0,-127,1998
921,56.0,-337,1999
922,54.0,-226,2000
923,54.0,46,2001
924,54.0,-286,2002
925,46.0,-692,2003
926,45.0,-447,2004
927,54.0,-507,2005
928,48.0,-964,2006
929,60.0,-557,2007
930,55.0,-684,2008
931,51.0,-822,2009
932,58.0,-816,2010
933,50.0,-486,2011
934,50.0,-339,2012
935,47.0,-864,2013
936,48.0,-237,2014
937,44.0,-302,2015
938,42.0,-358,2016
939,38.0,-684,2017
940,36.0,-363,2018
941,41.0,-793,2019
942,36.0,127,1993
943,39.0,167,1994
944,17.0,-80,1995
945,24.0,15,1996
946,19.0,-42,1997
947,21.0,-34,1998
948,17.0,163,1999
949,21.0,133,2000
950,24.0,100,2001
951,23.0,82,2002
952,19.0,-36,2003
953,17.0,-25,2004
954,19.0,91,2005
955,16.0,109,2006
956,14.0,104,2007
957,11.0,8,2008
958,9.0,17,2009
959,11.0,54,2010
960,10.0,53,2011
961,6.0,43,2012
962,7.0,-12,2013
963,7.0,54,2014
964,4.0,-86,2015
965,4.0,148,2016
966,4.0,31,2017
967,0.0,180,2018
968,1.0,261,2019
969,47.0,-156,2001
970,54.0,-11,2002
971,46.0,-286,2003
972,44.0,168,2004
973,48.0,-117,2005
974,45.0,1,2006
975,45.0,94,2007
976,42.0,7,2008
977,40.0,53,2009
978,45.0,-22,2010
979,40.0,82,2011
980,47.0,-18,2012
981,43.0,-55,2013
982,41.0,65,2014
983,43.0,-56,2015
984,39.0,-83,2016
985,39.0,-162,2017
986,32.0,-152,2018
987,35.0,-45,2019
988,39.0,2,2014
989,38.0,59,2015
990,36.0,-113,2016
991,39.0,-163,2017
992,33.0,-76,2018
993,35.0,-64,2019
994,47.0,-835,2000
995,48.0,-453,2001
996,54.0,-1143,2002
997,50.0,-700,2003
998,45.0,-839,2004
999,50.0,-641,2005
1000,45.0,-760,2006
1001,48.0,-498,2007
1002,45.0,-448,2008
1003,44.0,-838,2009
1004,45.0,-664,2010
1005,43.0,-489,2011
1006,49.0,-1108,2012
1007,43.0,-616,2013
1008,42.0,-1000,2014
1009,42.0,-457,2015
1010,40.0,-929,2016
1011,39.0,-1438,2017
1012,34.0,-540,2018
1013,35.0,-656,2019
1014,52.0,-442,1993
1015,41.0,-765,1994
1016,24.0,-704,1995
1017,31.0,-437,1996
1018,37.0,-652,1997
1019,30.0,-430,1998
1020,30.0,-613,1999
1021,26.0,-497,2000
1022,31.0,-357,2001
1023,33.0,-249,2002
1024,27.0,-537,2003
1025,26.0,-348,2004
1026,26.0,-306,2005
1027,17.0,-469,2006
1028,14.0,-466,2007
1029,42.0,729,1999
1030,58.0,582,2000
1031,53.0,-54,2001
1032,50.0,597,2002
1033,48.0,462,2003
1034,46.0,761,2004
1035,55.0,807,2005
1036,47.0,907,2006
1037,54.0,613,2007
1038,43.0,620,2008
1039,44.0,215,2009
1040,45.0,222,2010
1041,44.0,129,2011
1042,45.0,384,2012
1043,39.0,483,2013
1044,38.0,360,2014
1045,36.0,188,2015
1046,39.0,432,2016
1047,39.0,603,2017
1048,35.0,439,2018
1049,35.0,189,2019
1050,24.0,68,1993
1051,28.0,55,1994
1052,24.0,-67,1995
1053,21.0,40,1996
1054,19.0,152,1997
1055,24.0,-139,1998
1056,21.0,32,1999
1057,59.0,193,2000
1058,51.0,27,2001
1059,55.0,101,2002
1060,55.0,17,2003
1061,53.0,-8,2004
1062,58.0,86,2005
1063,53.0,25,2006
1064,54.0,73,2007
1065,51.0,19,2008
1066,51.0,119,2009
1067,53.0,77,2010
1068,49.0,-113,2011
1069,43.0,250,2012
1070,45.0,64,2013
1071,43.0,-71,2014
1072,35.0,-44,2015
1073,33.0,3,2016
1074,32.0,147,2017
1075,31.0,92,2018
1076,33.0,-48,2019
1077,15.0,-44,1995
1078,29.0,-47,1996
1079,20.0,-216,1997
1080,32.0,87,1998
1081,25.0,-105,1999
1082,22.0,-215,2000
1083,16.0,83,2001
1084,20.0,-101,2002
1085,35.0,1332,1993
1086,38.0,1280,1994
1087,32.0,1365,1995
1088,28.0,505,1996
1089,29.0,919,1997
1090,33.0,537,1998
1091,40.0,942,1999
1092,42.0,883,2000
1093,41.0,930,2001
1094,49.0,782,2002
1095,48.0,415,2003
1096,42.0,1222,2004
1097,53.0,768,2005
1098,47.0,463,2006
1099,53.0,52,2007
1100,54.0,1432,2008
1101,58.0,269,2009
1102,56.0,745,2010
1103,48.0,-44,2011
1104,55.0,42,2012
1105,44.0,833,2013
1106,49.0,233,2014
1107,43.0,-320,2015
1108,40.0,534,2016
1109,42.0,777,2017
1110,43.0,-140,2018
1111,43.0,-382,2019
1112,19.0,-292,2000
1113,19.0,147,2001
1114,35.0,0,2013
1115,40.0,75,2014
1116,43.0,-156,2015
1117,40.0,334,2016
1118,38.0,285,2017
1119,40.0,310,2018
1120,41.0,202,2019
1121,46.0,26,1999
1122,38.0,475,2000
1123,39.0,169,2001
1124,41.0,124,2002
1125,39.0,335,2003
1126,38.0,-78,2004
1127,46.0,263,2005
1128,40.0,606,2006
1129,43.0,-68,2007
1130,38.0,-298,2008
1131,43.0,-358,2009
1132,51.0,635,2010
1133,49.0,107,2011
1134,46.0,87,2012
1135,42.0,396,2013
1136,35.0,774,2014
1137,36.0,-95,2015
1138,33.0,958,2016
1139,33.0,2022,2017
1140,38.0,952,2018
1141,35.0,773,2019
1142,41.0,-144,1997
1143,43.0,-82,1998
1144,42.0,36,1999
1145,42.0,-151,2000
1146,39.0,-32,2001
1147,44.0,47,2002
1148,45.0,-91,2003
1149,41.0,-103,2004
1150,45.0,21,2005
1151,44.0,33,2006
1152,41.0,87,2007
1153,41.0,132,2008
1154,40.0,-58,2009
1155,40.0,-58,2010
1156,40.0,15,2011
1157,46.0,-38,2012
1158,42.0,-11,2013
1159,38.0,-4,2014
1160,40.0,39,2015
1161,37.0,-38,2016
1162,39.0,-131,2017
1163,39.0,-81,2018
1164,38.0,-24,2019
1165,10.0,221,1993
1166,14.0,-16,1994
1167,16.0,0,1995
1168,11.0,173,1996
1169,21.0,77,1997
1170,13.0,160,1998
1171,0.0,207,1999
1172,0.0,215,2000
1173,20.0,163,2001
1174,19.0,285,2002
1175,21.0,87,2003
1176,19.0,46,2004
1177,19.0,122,2005
1178,20.0,82,2006
1179,50.0,172,2007
1180,43.0,94,2008
1181,40.0,79,2009
1182,43.0,9,2010
1183,40.0,117,2011
1184,40.0,-78,2012
1185,40.0,8,2013
1186,36.0,153,2014
1187,33.0,15,2015
1188,32.0,90,2016
1189,32.0,79,2017
